model,K,horizon,split,precision,recall,f1,pr_auc,roc_auc,fpr,support,normal_count,confusion_matrix,threshold,positive_rate,negative_count,cm
LaggedXGBoost,5,2,test,0.9605263157894737,0.9733333333333334,0.9668874172185431,0.9963224238590233,0.9099999999999999,1.0,156,,,0.2,0.9615384615384616,6.0,"[[0, 6], [4, 146]]"
LaggedLogisticRegression,5,3,validation,0.8842105263157894,0.8076923076923077,0.8442211055276382,0.8264554008540062,0.788265306122449,0.22448979591836735,153,,,0.1,0.6797385620915033,49.0,"[[38, 11], [20, 84]]"
LaggedLogisticRegression,5,3,test,0.9612903225806452,0.9933333333333333,0.9770491803278688,0.9852726681040168,0.6844444444444444,1.0,156,,,0.1,0.9615384615384616,6.0,"[[0, 6], [1, 149]]"
LaggedXGBoost,5,3,validation,0.9574468085106383,0.8653846153846154,0.9090909090909091,0.939738069290483,0.8977629513343799,0.08163265306122448,153,,,0.3,0.6797385620915033,49.0,"[[45, 4], [14, 90]]"
LaggedXGBoost,5,3,test,0.96,0.96,0.96,0.9976009032792352,0.94,1.0,156,,,0.3,0.9615384615384616,6.0,"[[0, 6], [6, 144]]"
LaggedLogisticRegression,5,4,validation,0.8673469387755102,0.8173076923076923,0.8415841584158416,0.798405381451737,0.7574568288854003,0.2653061224489796,153,,,0.1,0.6797385620915033,49.0,"[[36, 13], [19, 85]]"
LaggedLogisticRegression,5,4,test,0.9612903225806452,0.9933333333333333,0.9770491803278688,0.9860598885806642,0.7011111111111111,1.0,156,,,0.1,0.9615384615384616,6.0,"[[0, 6], [1, 149]]"
LaggedXGBoost,5,4,validation,0.9375,0.8653846153846154,0.9,0.9131629018725991,0.8846153846153846,0.12244897959183673,153,,,0.2,0.6797385620915033,49.0,"[[43, 6], [14, 90]]"
LaggedXGBoost,5,4,test,0.9605263157894737,0.9733333333333334,0.9668874172185431,0.9972218928042424,0.9311111111111111,1.0,156,,,0.2,0.9615384615384616,6.0,"[[0, 6], [4, 146]]"
LaggedLogisticRegression,5,5,validation,0.8529411764705882,0.8365384615384616,0.8446601941747572,0.7933964135590224,0.7386185243328101,0.30612244897959184,153,,,0.1,0.6797385620915033,49.0,"[[34, 15], [17, 87]]"
LaggedLogisticRegression,5,5,test,0.9612903225806452,0.9933333333333333,0.9770491803278688,0.9870238202532619,0.7188888888888889,1.0,156,,,0.1,0.9615384615384616,6.0,"[[0, 6], [1, 149]]"
LaggedXGBoost,5,5,validation,0.9090909090909091,0.8653846153846154,0.8866995073891626,0.8906137052812356,0.8577315541601256,0.1836734693877551,153,,,0.2,0.6797385620915033,49.0,"[[40, 9], [14, 90]]"
LaggedXGBoost,5,5,test,0.9605263157894737,0.9733333333333334,0.9668874172185431,0.9979649765880275,0.9488888888888888,1.0,156,,,0.2,0.9615384615384616,6.0,"[[0, 6], [4, 146]]"
